City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hofn,64.2539,-15.2082,42.01,91,100,8.7,IS,1619372838
Bluff,-46.6,168.3333,42.01,84,79,5.99,NZ,1619372838
Lata,40.1629,-8.3327,62.01,89,90,3.2,PT,1619372839
Evanston,42.0411,-87.6901,46.99,46,20,11.5,US,1619372667
Mehamn,71.0357,27.8492,35.6,69,75,11.5,NO,1619372839
Narsaq,60.9167,-46.05,51.8,30,75,19.57,GL,1619372711
Aklavik,68.2191,-135.0107,21.2,79,20,12.66,CA,1619372840
Paamiut,61.994,-49.6678,37.26,93,99,5.59,GL,1619372840
Miandrivazo,-19.5167,45.4667,80.2,63,100,3.76,MG,1619372840
Podporozh'ye,60.9112,34.1706,38.91,97,100,6.31,RU,1619372713
Kiunga,-6.1219,141.2906,72.9,97,98,1.88,PG,1619372841
Tromsø,69.6496,18.957,35.6,75,75,5.75,NO,1619372841
Kapaa,22.0752,-159.319,73.99,78,75,11.5,US,1619372841
Vostok,46.4856,135.8833,23.23,55,6,4.79,RU,1619372842
Nikolskoye,59.7035,30.7861,39.99,87,75,11.18,RU,1619372842
Quebo,11.3333,-14.9333,93.88,24,23,11.21,GW,1619372842
Castro,-24.7911,-50.0119,69.53,61,100,8.48,BR,1619372842
Rikitea,-23.1203,-134.9692,77.65,75,80,7.52,PF,1619372843
Saint Paul Harbor,57.79,-152.4072,39.2,87,90,9.22,US,1619372843
Airai,-8.9266,125.4092,55.08,81,20,1.95,TL,1619372694
Upington,-28.4478,21.2561,77.0,19,0,3.44,ZA,1619372844
Kachīry,53.0675,76.1036,49.5,34,99,17.11,KZ,1619372844
Longyearbyen,78.2186,15.6401,21.2,63,40,18.41,SJ,1619372844
Tuktoyaktuk,69.4541,-133.0374,10.4,85,90,10.36,CA,1619372845
Acarí,-15.4311,-74.6158,80.35,54,15,11.18,PE,1619372596
Mount Gambier,-37.8333,140.7667,48.2,100,90,1.14,AU,1619372845
Lagoa,39.05,-27.9833,59.72,79,27,14.7,PT,1619372641
Las Vegas,36.175,-115.1372,77.0,12,1,24.16,US,1619372038
Ushuaia,-54.8,-68.3,55.4,50,75,18.41,AR,1619372845
Zyryanka,65.75,150.85,-0.81,94,5,7.43,RU,1619372846
Havelock,34.8791,-76.9013,70.0,67,79,8.01,US,1619372561
Ancud,-41.8697,-73.8203,60.01,100,90,3.56,CL,1619372846
Safaga,26.7292,33.9365,77.0,50,0,8.05,EG,1619372846
Port Alfred,-33.5906,26.891,70.65,71,98,15.39,ZA,1619372847
Kavieng,-2.5744,150.7967,81.25,77,95,3.83,PG,1619372847
Dalvik,65.9702,-18.5286,39.2,100,90,17.27,IS,1619372847
Vaini,-21.2,-175.2,75.2,94,75,6.91,TO,1619372848
Posadas,-27.3671,-55.8961,75.2,68,75,5.75,AR,1619372848
Bilibino,68.0546,166.4372,15.49,96,100,1.41,RU,1619372848
Abhā,18.2164,42.5053,62.6,59,40,8.05,SA,1619372690
Jamestown,42.097,-79.2353,50.0,81,90,11.5,US,1619372849
Bredasdorp,-34.5322,20.0403,57.2,88,100,3.44,ZA,1619372849
Flinders,-34.5833,150.8552,52.0,84,53,1.01,AU,1619372850
Hermanus,-34.4187,19.2345,62.01,86,100,1.05,ZA,1619372850
Yellowknife,62.456,-114.3525,6.8,56,75,5.75,CA,1619372643
Katsuura,35.1333,140.3,55.4,54,75,17.27,JP,1619372851
Kaitangata,-46.2817,169.8464,36.0,76,43,1.99,NZ,1619372851
Noyabrsk,63.1994,75.4507,33.6,98,100,11.61,RU,1619372852
San Cristobal,7.7669,-72.225,89.6,58,20,11.5,VE,1619372618
Çarşamba,41.1989,36.7219,51.8,76,75,2.3,TR,1619372852
Plettenberg Bay,-34.0527,23.3716,67.3,68,100,6.78,ZA,1619372570
Natá,8.3333,-80.5167,89.6,58,20,11.5,PA,1619372853
Constitución,-35.3333,-72.4167,65.53,57,0,14.14,CL,1619372822
Baruun-Urt,46.6806,113.2792,48.97,69,100,17.07,MN,1619372853
George Town,5.4112,100.3354,82.4,89,20,3.44,MY,1619372668
Kenai,60.5544,-151.2583,39.2,70,1,3.44,US,1619372853
Yaita,36.8,139.9333,42.08,51,1,12.82,JP,1619372854
Tabanan,-8.5413,115.1252,80.6,89,40,8.05,ID,1619372854
Punta Arenas,-53.15,-70.9167,59.0,47,75,23.02,CL,1619372757
Hithadhoo,-0.6,73.0833,82.92,67,41,2.84,MV,1619372855
Camacha,33.0833,-16.3333,66.2,72,75,20.71,PT,1619372855
Khandyga,62.6667,135.6,14.32,92,100,4.16,RU,1619372844
São Félix do Xingu,-6.6447,-51.995,88.14,60,40,2.84,BR,1619372855
Castlebar,53.85,-9.3,62.01,48,99,11.99,IE,1619372856
Porto-Novo,6.4965,2.6036,86.0,74,40,12.66,BJ,1619372856
Albany,42.6001,-73.9662,55.99,62,100,3.96,US,1619372852
Avarua,-21.2078,-159.775,78.8,83,75,11.5,CK,1619372856
Ribeira Grande,38.5167,-28.7,66.2,68,20,6.91,PT,1619372857
Mataura,-46.1927,168.8643,42.01,84,52,5.99,NZ,1619372857
Ugoofaaru,5.6667,73.0,84.29,71,10,5.88,MV,1619372857
Saint-François,46.4154,3.9054,66.2,42,0,6.91,FR,1619372858
Atuona,-9.8,-139.0333,80.15,71,69,16.6,PF,1619372858
Carnarvon,-24.8667,113.6333,64.4,88,0,9.22,AU,1619372859
Thompson,55.7435,-97.8558,33.8,44,90,10.36,CA,1619372859
Provideniya,64.3833,-173.3,34.65,87,98,3.8,RU,1619372859
Naze,28.3667,129.4833,64.72,67,100,11.14,JP,1619372850
Ponta do Sol,32.6667,-17.1,68.0,64,40,10.36,PT,1619372860
Estación Coahuila,32.1939,-115.0017,81.0,18,1,0.98,MX,1619372860
Teya,60.3778,92.6267,34.41,96,100,5.21,RU,1619372860
Hobart,-42.8794,147.3294,57.2,62,40,13.8,AU,1619372861
Lebu,-37.6167,-73.65,60.33,75,0,13.11,CL,1619372861
Puerto Ayora,-0.7393,-90.3518,82.4,65,20,18.41,EC,1619372690
Takoradze,4.8845,-1.7554,82.08,79,94,8.7,GH,1619372862
Novobessergenevka,47.1847,38.8462,52.0,46,90,7.0,RU,1619372862
Ilulissat,69.2167,-51.1,51.8,40,20,21.85,GL,1619372693
Quila,24.4228,-107.22,86.0,50,1,3.44,MX,1619372862
East London,-33.0153,27.9116,68.0,83,0,9.22,ZA,1619372863
Portree,57.4129,-6.1942,55.99,56,69,8.99,GB,1619372863
Genteng,-8.3667,114.15,70.72,91,73,3.36,ID,1619372863
Isa Khel,36.6702,68.8443,70.0,30,45,3.02,AF,1619372864
Srednekolymsk,67.45,153.6833,-4.4,99,16,4.74,RU,1619372864
Aykhal,66.0,111.5,7.09,95,100,28.34,RU,1619372692
Vestmannaeyjar,63.4427,-20.2734,44.6,87,75,13.8,IS,1619372864
Saskylakh,71.9167,114.0833,15.3,95,100,8.97,RU,1619372770
Manta,-0.95,-80.7333,82.4,74,40,6.91,EC,1619372567
Fengcheng,40.4536,124.0717,51.39,34,100,4.21,CN,1619372865
Mwanza,-2.5167,32.9,69.8,88,75,3.11,TZ,1619372611
Fortuna,40.5982,-124.1573,50.0,93,75,11.5,US,1619372866
Corpus Christi,27.8006,-97.3964,82.99,57,20,16.11,US,1619372866
Mar del Plata,-38.0023,-57.5575,64.4,68,75,16.11,AR,1619372866
Jacobina,-11.1806,-40.5183,82.49,58,60,6.2,BR,1619372867
Barrow,71.2906,-156.7887,10.4,92,1,12.66,US,1619372633
Hambantota,6.1241,81.1185,80.55,79,33,6.22,LK,1619372867
Quatre Cocos,-20.2078,57.7625,78.01,88,75,12.66,MU,1619372612
Arraial do Cabo,-22.9661,-42.0278,84.2,65,0,9.22,BR,1619372868
Chokurdakh,70.6333,147.9167,18.32,94,100,13.47,RU,1619372868
Tasiilaq,65.6145,-37.6368,39.2,65,75,23.02,GL,1619372868
Kapustin Yar,48.5831,45.7372,47.98,45,100,1.25,RU,1619372869
Bandarbeyla,9.4942,50.8122,83.7,72,53,10.89,SO,1619372869
Alofi,-19.0595,-169.9187,69.8,94,82,1.14,NU,1619372869
Ixtapa,20.7,-105.2,82.4,57,20,8.05,MX,1619372870
Saint-Philippe,-21.3585,55.7679,78.8,73,0,23.02,RE,1619372870
Saldanha,-33.0117,17.9442,60.8,88,100,4.61,ZA,1619372708
Lavrentiya,65.5833,-171.0,21.52,84,90,3.53,RU,1619372870
Egvekinot,66.3167,-179.1667,20.8,90,94,5.48,RU,1619372719
Wawa,9.9022,4.4192,91.44,44,83,3.06,NG,1619372871
Kurtamysh,54.9103,64.4319,53.44,63,73,11.12,RU,1619372871
Dwārka,22.2394,68.9678,82.54,78,0,16.62,IN,1619372670
Mahébourg,-20.4081,57.7,77.0,88,75,12.66,MU,1619372871
Launceston,-41.45,147.1667,50.0,81,46,11.5,AU,1619372871
Butaritari,3.0707,172.7902,81.9,77,23,11.97,KI,1619372872
Sisimiut,66.9395,-53.6735,42.85,66,64,1.72,GL,1619372624
Burnie,-41.0667,145.9167,52.0,82,80,5.99,AU,1619372872
Busselton,-33.65,115.3333,53.01,95,21,4.41,AU,1619372873
Quarteira,37.0695,-8.1006,68.0,83,20,10.36,PT,1619372873
Arman',59.7,150.1667,9.37,79,26,8.86,RU,1619372873
Alice Springs,-23.7,133.8833,50.0,57,0,5.75,AU,1619372740
Margate,51.3813,1.3862,46.0,65,7,8.01,GB,1619372874
Shagonar,51.5333,92.8,33.22,55,37,3.62,RU,1619372874
Upernavik,72.7868,-56.1549,35.78,87,22,2.75,GL,1619372875
Nuevo Progreso,23.1667,-97.95,88.0,72,61,8.99,MX,1619372875
Urengoy,65.9667,78.3667,17.01,92,50,7.45,RU,1619372875
Cap Malheureux,-19.9842,57.6142,78.01,81,100,5.99,MU,1619372715
Kutum,14.2,24.6667,84.33,12,67,7.38,SD,1619372876
Sitka,57.0531,-135.33,50.0,53,1,5.75,US,1619372675
Clyde River,70.4692,-68.5914,23.0,100,40,23.02,CA,1619372876
Koungou,-12.7336,45.2042,80.6,83,0,10.36,YT,1619372876
Khatanga,71.9667,102.5,5.76,84,87,18.03,RU,1619372877
The Valley,18.217,-63.0578,87.8,65,75,17.27,AI,1619372877
Yumen,40.2833,97.2,40.28,14,90,17.87,CN,1619372877
Laguna,38.421,-121.4238,60.01,62,90,6.91,US,1619372878
Kununurra,-15.7667,128.7333,62.6,82,80,7.0,AU,1619372878
Samarai,-10.6167,150.6667,82.47,78,99,10.96,PG,1619372878
Caravelas,-17.7125,-39.2481,83.8,62,15,9.78,BR,1619372879
Qaanaaq,77.484,-69.3632,31.73,73,80,3.6,GL,1619372879
Nanortalik,60.1432,-45.2371,42.85,72,100,15.23,GL,1619372879
Bengkulu,-3.8004,102.2655,77.18,86,98,4.68,ID,1619372826
Hasaki,35.7333,140.8333,48.2,49,20,14.97,JP,1619372880
Tadine,-21.55,167.8833,72.18,87,100,7.09,NC,1619372880
Salalah,17.0151,54.0924,84.2,70,75,8.05,OM,1619372880
Khovd,48.0056,91.6419,29.68,29,52,2.89,MN,1619372881
Chernyshevskiy,63.0128,112.4714,27.64,98,100,3.22,RU,1619372881
Belvedere Marittimo,39.6179,15.8617,55.22,68,38,1.25,IT,1619372881
Corowa,-36.0333,146.3833,43.0,100,4,3.44,AU,1619372882
Kargil,34.5667,76.1,32.56,40,10,4.83,IN,1619372882
Mossamedes,-15.1961,12.1522,78.64,71,5,16.49,AO,1619372882
Kruisfontein,-34.0033,24.7314,70.75,45,100,2.84,ZA,1619372883
Kapoeta,4.7717,33.5903,81.12,51,100,6.22,SS,1619372822
Dikson,73.5069,80.5464,16.05,90,100,9.93,RU,1619372883
Luwuk,-0.9516,122.7875,75.88,82,98,3.98,ID,1619372883
Amahai,-3.3333,128.9167,80.01,89,99,2.89,ID,1619372883
Kėdainiai,55.2883,23.9747,39.2,56,40,5.75,LT,1619372884
Inowrocław,52.7989,18.2639,44.6,33,0,9.22,PL,1619372771
São Filipe,14.8961,-24.4956,71.82,75,97,10.07,CV,1619372884
Tolmachëvo,54.9824,82.7363,41.0,48,98,4.47,RU,1619372884
Mahon,39.8885,4.2658,60.8,77,0,16.11,ES,1619372885
Cape Town,-33.9258,18.4232,66.0,88,0,17.27,ZA,1619372885
Wanning,18.8003,110.3967,78.51,90,67,6.46,CN,1619372886
Ryōtsu-minato,38.0833,138.4333,44.26,48,5,10.65,JP,1619372886
Inhambane,-23.865,35.3833,75.2,78,20,4.21,MZ,1619372886
Aasiaat,68.7098,-52.8699,35.89,77,82,6.26,GL,1619372684
Yerbogachën,61.2767,108.0108,33.71,97,100,7.09,RU,1619372887
Okha,53.5739,142.9478,19.69,88,5,4.68,RU,1619372887
Bilma,18.6853,12.9164,96.8,8,16,8.23,NE,1619372765
Pimentel,-6.8367,-79.9342,77.0,57,0,11.5,PE,1619372888
Vila Franca do Campo,37.7167,-25.4333,62.6,67,40,13.8,PT,1619372888
Asău,46.4333,26.4,50.0,42,78,6.06,RO,1619372889
Beyneu,45.3167,55.2,71.67,21,80,21.54,KZ,1619372889
Palana,59.1167,159.9667,23.38,96,100,3.47,RU,1619372889
Faanui,-16.4833,-151.75,80.64,65,7,3.62,PF,1619372889
Tiksi,71.6872,128.8694,20.48,96,99,3.78,RU,1619372890
Fonte Boa,-2.4959,-66.2662,83.64,81,86,3.87,BR,1619372890
Honiara,-9.4333,159.95,77.85,86,75,2.59,SB,1619372890
Loma Alta,15.3967,-88.5597,96.01,70,20,9.22,HN,1619372891
Gijang,35.2442,129.2139,50.0,66,0,4.61,KR,1619372891
Batemans Bay,-35.7167,150.1833,52.0,87,10,3.0,AU,1619372892
Antofagasta,-23.65,-70.4,70.0,68,0,11.5,CL,1619372807
Huarmey,-10.0681,-78.1522,73.09,73,34,10.22,PE,1619372892
Châlons-en-Champagne,48.9539,4.3672,60.8,31,0,16.11,FR,1619372725
Fort Saint James,54.4333,-124.25,45.75,29,0,7.07,CA,1619372892
Spasskoye,44.6108,132.7969,35.15,41,0,6.53,RU,1619372893
Cidreira,-30.1811,-50.2056,71.31,69,87,16.04,BR,1619372893
Nadvoitsy,63.8667,34.3167,38.82,88,40,14.25,RU,1619372893
Luzhou,28.8724,105.4405,58.91,94,100,6.22,CN,1619372893
Visby,57.6409,18.296,37.99,70,75,12.66,SE,1619372894
Cherskiy,68.75,161.3,0.34,97,99,4.47,RU,1619372894
Roverud,60.2521,12.055,42.8,39,75,9.22,NO,1619372895
Pangnirtung,66.1451,-65.7125,32.0,80,90,4.61,CA,1619372895
City of San Pedro,14.35,121.0167,80.6,78,40,6.91,PH,1619372895
Heze,35.2431,115.4411,53.58,76,100,3.96,CN,1619372895
Sechura,-5.5569,-80.8222,80.6,57,37,9.44,PE,1619372896
New Norfolk,-42.7826,147.0587,55.0,80,96,1.99,AU,1619372618
Abéché,13.8292,20.8324,88.34,26,36,7.05,TD,1619372896
São João da Barra,-21.6403,-41.0511,86.0,54,20,2.3,BR,1619372896
Bloemfontein,-29.1211,26.214,60.8,33,0,3.44,ZA,1619372897
Itarema,-2.9248,-39.9167,84.24,68,84,13.24,BR,1619372726
Filingué,14.3521,3.3168,97.74,15,80,2.98,NE,1619372897
Belaya Gora,68.5333,146.4167,16.12,86,100,11.43,RU,1619372647
Fontem,5.4685,9.8818,72.1,82,76,2.51,CM,1619372897
Hilo,19.7297,-155.09,68.0,83,90,3.44,US,1619372384
Maceió,-9.6658,-35.7353,86.0,58,40,8.05,BR,1619372633
Vardø,70.3705,31.1107,33.8,64,40,16.11,NO,1619372756
Esim,4.8699,-2.2405,81.32,78,97,6.53,GH,1619372898
Meadow Lake,34.8014,-106.5436,79.0,15,20,10.36,US,1619372898
Birao,10.2849,22.7882,79.03,64,95,9.04,CF,1619372899
Starodub,52.5844,32.7633,34.38,67,49,6.91,RU,1619372899
Olavarría,-36.8927,-60.3225,64.99,70,27,6.76,AR,1619372899
Pevek,69.7008,170.3133,19.27,94,100,11.77,RU,1619372899
Kurbnesh,41.7797,20.0836,59.0,51,0,5.75,AL,1619372900
Lafia,8.4833,8.5167,76.71,70,98,7.2,NG,1619372900
Río Frío de Juárez,19.35,-98.6667,77.0,25,1,5.75,MX,1619372900
Cabo San Lucas,22.8909,-109.9124,84.0,34,40,8.05,MX,1619372761
Husavik,66.0449,-17.3389,39.2,100,90,17.27,IS,1619372669
Tazovsky,67.4667,78.7,8.08,96,34,8.28,RU,1619372901
Carmarthen,51.8555,-4.3054,60.8,44,9,16.11,GB,1619372901
Jiangyou,31.7667,104.7167,57.6,89,100,1.99,CN,1619372724
Olafsvik,64.8945,-23.7142,44.26,85,81,9.08,IS,1619372902
Evensk,61.95,159.2333,21.13,95,100,7.38,RU,1619372902
Kikwit,-5.041,18.8162,74.37,84,28,2.08,CD,1619372903
Petropavlovsk-Kamchatskiy,53.0452,158.6483,33.8,100,75,4.47,RU,1619372903
Lüderitz,-26.6481,15.1594,62.08,92,83,1.39,NA,1619372903
Tucuruí,-3.7661,-49.6725,84.13,75,76,4.12,BR,1619372904
Atar,20.5169,-13.0499,94.68,11,0,14.61,MR,1619372692
El Salvador,13.8333,-88.9167,89.6,48,20,6.91,SV,1619372818
Mâncio Lima,-7.6142,-72.8958,93.2,59,75,3.44,BR,1619372904
Muisne,0.6,-80.0333,84.2,84,75,11.5,EC,1619372905
Saint-Joseph,-21.3667,55.6167,78.8,73,0,23.02,RE,1619372905
Garoua Boulaï,5.8833,14.55,69.3,79,69,1.12,CM,1619372905
Lompoc,34.6391,-120.4579,57.99,58,100,6.26,US,1619372906
Livingstonia,-10.606,34.1063,63.14,86,38,4.65,MW,1619372906
Hamilton,39.1834,-84.5333,62.01,67,75,5.75,US,1619372775
Praia da Vitória,38.7333,-27.0667,64.0,72,75,16.67,PT,1619372906
Geraldton,-28.7667,114.6,60.8,82,2,4.61,AU,1619372907
Vila Velha,-20.3297,-40.2925,87.01,66,20,13.8,BR,1619372907
Lastoursville,-0.8143,12.7287,76.95,87,54,2.19,GA,1619372907
Esperance,-33.8667,121.9,62.6,63,1,16.11,AU,1619372833
Rimavská Sobota,48.3828,20.0224,42.08,92,81,2.21,SK,1619372908
Melilla,35.2937,-2.9383,62.6,94,75,3.44,ES,1619372908
Bethel,41.3712,-73.414,53.6,71,90,6.91,US,1619372909
Bang Saphan,11.2126,99.5117,76.1,85,82,4.94,TH,1619372909
Diamantino,-14.4086,-56.4461,81.12,71,96,6.13,BR,1619372909
Atasū,48.6814,71.6433,47.68,62,17,8.19,KZ,1619372910
Bonavista,48.6499,-53.1147,53.6,40,24,12.66,CA,1619372910
Kumul,42.8,93.45,42.71,19,97,6.29,CN,1619372911
Sanson,-40.2167,175.4167,55.99,89,94,1.99,NZ,1619372911
Verkhnyaya Inta,65.9811,60.3094,41.45,84,99,14.2,RU,1619372886
Garissa,-0.4536,39.6401,87.06,52,99,20.76,KE,1619372912
Nome,64.5011,-165.4064,36.0,80,90,4.79,US,1619372912
Isangel,-19.55,169.2667,76.62,84,100,8.14,VU,1619372912
Ambon City,-3.6954,128.1814,80.01,89,88,8.12,ID,1619372742
Guarujá,-23.9931,-46.2564,84.2,58,20,5.75,BR,1619372712
São Gabriel da Cachoeira,-0.1303,-67.0892,86.0,74,40,8.05,BR,1619372913
Pamekasan,-7.1568,113.4746,78.85,78,47,8.7,ID,1619372913
Zwedru,6.0667,-8.1281,80.15,79,100,3.53,LR,1619372913
Flin Flon,54.7682,-101.865,41.0,42,90,10.36,CA,1619372914
Shangrao,28.4532,117.9686,62.91,95,99,3.02,CN,1619372914
Dingle,10.9995,122.6711,76.69,84,15,3.18,PH,1619372914
Ejea de los Caballeros,42.1263,-1.1372,68.0,55,100,9.22,ES,1619372915
Bonthe,7.5264,-12.505,85.15,64,90,11.88,SL,1619372915
Half Moon Bay,37.4636,-122.4286,59.0,76,90,13.8,US,1619372748
Morant Bay,17.8815,-76.4093,84.2,74,20,18.41,JM,1619372916
Zheleznodorozhnyy,55.7503,38.0042,41.0,48,0,11.18,RU,1619372916
Eldorado,-23.7869,-54.2836,66.92,86,94,5.26,BR,1619372916
Adrar,20.5022,-10.0711,96.53,11,5,8.79,MR,1619372917
Whitecourt,54.1502,-115.6855,39.2,26,20,11.5,CA,1619372711
Solnechnyy,50.7214,136.6319,27.16,60,42,4.09,RU,1619372917
Maumere,-8.6199,122.2111,79.52,73,98,7.81,ID,1619372917
Mashhad,36.297,59.6062,69.8,40,40,4.61,IR,1619372918
Masuda,34.6667,131.85,51.8,50,20,18.41,JP,1619372918
Ahipara,-35.1667,173.1667,58.21,79,90,6.67,NZ,1619372918
Kautokeino,69.0125,23.0412,15.48,90,36,4.94,NO,1619372919
Saint George,37.1041,-113.5841,78.01,16,1,31.07,US,1619372883
Tanout,14.9709,8.8879,97.66,8,80,10.11,NE,1619372749
Sørland,67.667,12.6934,39.2,70,75,10.36,NO,1619372862
Lethem,3.3803,-59.7968,84.43,64,100,8.16,GY,1619372919
Ketchikan,55.3422,-131.6461,54.52,41,0,5.23,US,1619372920
Santa Fe,-31.6333,-60.7,71.01,46,0,1.99,AR,1619372823
Port Victoria,0.0939,33.9756,68.85,85,99,8.08,KE,1619372920
Chuncheng,22.1731,111.7886,74.5,94,99,3.11,CN,1619372921
Topaowan,30.67,112.6895,57.99,87,99,9.98,CN,1619372921
Padang,-0.9492,100.3543,78.21,85,91,3.18,ID,1619372921
Doumé,4.2333,13.45,76.28,64,99,1.52,CM,1619372922
Sistranda,63.7256,8.834,39.2,70,75,17.27,NO,1619372745
Talnakh,69.4865,88.3972,-1.88,96,67,2.35,RU,1619372922
